# rom=games/dr_mario.gb frames=900 interval=30 canvas=160x144
frame=00000 pc=0x0215 cycles=135888 fb=0x56333405
frame=00030 pc=0x035a cycles=2582252 fb=0x431e52d4
frame=00060 pc=0x035a cycles=4688972 fb=0x431e52d4
frame=00090 pc=0x035a cycles=6795692 fb=0x431e52d4
frame=00120 pc=0x035a cycles=8965128 fb=0xdca03e65
frame=00150 pc=0x035a cycles=11071848 fb=0x4c9ff9ca
frame=00180 pc=0x035a cycles=13178568 fb=0x16dc42c9
frame=00210 pc=0x035a cycles=15359680 fb=0xefb76116
frame=00240 pc=0x035a cycles=17466400 fb=0x4ff44c74
frame=00270 pc=0x035a cycles=19573120 fb=0x5bd1bab1
frame=00300 pc=0x035a cycles=21679840 fb=0xa9018fc0
frame=00330 pc=0x035a cycles=23786560 fb=0xa9018fc0
frame=00360 pc=0x035a cycles=25893280 fb=0xa9018fc0
frame=00390 pc=0x035a cycles=28000000 fb=0xd944d987
frame=00420 pc=0x035a cycles=30106720 fb=0x1c846036
frame=00450 pc=0x035a cycles=32213440 fb=0x5a9b085b
frame=00480 pc=0x035a cycles=34320160 fb=0xa9018fc0
frame=00510 pc=0x035a cycles=36426880 fb=0xa9018fc0
frame=00540 pc=0x035a cycles=38533600 fb=0xa9018fc0
frame=00570 pc=0x035a cycles=40640320 fb=0xa9018fc0
frame=00600 pc=0x035a cycles=42747040 fb=0x3105146a
frame=00630 pc=0x035a cycles=44853760 fb=0x94b6d849
frame=00660 pc=0x035a cycles=46960480 fb=0x9eb51fc6
frame=00690 pc=0x035a cycles=49067200 fb=0xa9018fc0
frame=00720 pc=0x035a cycles=51173920 fb=0xa9018fc0
frame=00750 pc=0x035a cycles=53280640 fb=0xa9018fc0
frame=00780 pc=0x035a cycles=55387360 fb=0x0abd8ccb
frame=00810 pc=0x035a cycles=57494080 fb=0xc138efa1
frame=00840 pc=0x035a cycles=59600800 fb=0xb90cd5c3
frame=00870 pc=0x035a cycles=61707520 fb=0xa9018fc0
frame=00899 pc=0x035a cycles=63744016 fb=0xa9018fc0
# distinct_fb=18 monotonic=true final_pc=0x035a
OK: ran 900 frames; 18 distinct framebuffers, cycles monotonic
