# rom=games/kirby_dream_land.gb frames=900 interval=30 canvas=160x144
frame=00000 pc=0x4add cycles=140448 fb=0xc30975c5
frame=00030 pc=0x0685 cycles=2988752 fb=0x5054180c
frame=00060 pc=0x1dcb cycles=5095464 fb=0x5054180c
frame=00090 pc=0x1dcb cycles=7202192 fb=0x6476a207
frame=00120 pc=0x2117 cycles=9870712 fb=0x998313c5
frame=00150 pc=0x439c cycles=12133824 fb=0x18f4bbab
frame=00180 pc=0x439c cycles=14240544 fb=0xb187acc6
frame=00210 pc=0x1e80 cycles=16351680 fb=0x998313c5
frame=00240 pc=0x0685 cycles=19188528 fb=0xca515e0b
frame=00270 pc=0x01ff cycles=21295248 fb=0x1a81f60a
frame=00300 pc=0x45ba cycles=23401968 fb=0xd5ec2a96
frame=00330 pc=0x45b5 cycles=25508684 fb=0xd5ec2a96
frame=00360 pc=0x45b5 cycles=27615400 fb=0xd5ec2a96
frame=00390 pc=0x1de8 cycles=29722124 fb=0xd5ec2a96
frame=00420 pc=0x01fd cycles=31828844 fb=0xa0095bde
frame=00450 pc=0x01ff cycles=33935560 fb=0xf705bbe4
frame=00480 pc=0x45b8 cycles=36042284 fb=0xeddc20b6
frame=00510 pc=0x45b8 cycles=38149000 fb=0xeddc20b6
frame=00540 pc=0x45b8 cycles=40255724 fb=0xeddc20b6
frame=00570 pc=0x45b8 cycles=42362444 fb=0xeddc20b6
frame=00600 pc=0x1de8 cycles=44469168 fb=0xeddc20b6
frame=00630 pc=0x01f7 cycles=46575888 fb=0x428b7ff6
frame=00660 pc=0x01fd cycles=48682600 fb=0x584b01b2
frame=00690 pc=0x45b8 cycles=50789320 fb=0x584b01b2
frame=00720 pc=0x45b5 cycles=52896040 fb=0x584b01b2
frame=00750 pc=0x45ba cycles=55002764 fb=0x584b01b2
frame=00780 pc=0x1de6 cycles=57109488 fb=0x584b01b2
frame=00810 pc=0x01ff cycles=59216204 fb=0xcebf15ea
frame=00840 pc=0x01f9 cycles=61322928 fb=0x290ccf8e
frame=00870 pc=0x45b8 cycles=63429640 fb=0x8090bc05
frame=00899 pc=0x45b8 cycles=65466148 fb=0x8090bc05
# distinct_fb=17 monotonic=true final_pc=0x45b8
OK: ran 900 frames; 17 distinct framebuffers, cycles monotonic
