# rom=games/tetris.gb frames=900 interval=30 canvas=160x144
frame=00000 pc=0x0235 cycles=135888 fb=0x998313c5
frame=00030 pc=0x02ef cycles=2478820 fb=0xbb1558dd
frame=00060 pc=0x02ef cycles=4585532 fb=0xbb1558dd
frame=00090 pc=0x02ed cycles=6692260 fb=0xbb1558dd
frame=00120 pc=0x02ed cycles=8798972 fb=0xbb1558dd
frame=00150 pc=0x02ef cycles=10905696 fb=0xbb1558dd
frame=00180 pc=0x02f0 cycles=13012412 fb=0xbb1558dd
frame=00210 pc=0x02ed cycles=15119136 fb=0xbb1558dd
frame=00240 pc=0x02ef cycles=17225860 fb=0xbb1558dd
frame=00270 pc=0x02ed cycles=19332576 fb=0xbb1558dd
frame=00300 pc=0x02ed cycles=21564464 fb=0x96421b5a
frame=00330 pc=0x02ed cycles=23671184 fb=0x96421b5a
frame=00360 pc=0x02ed cycles=25777912 fb=0x8612ee42
frame=00390 pc=0x04cd cycles=27884628 fb=0x8612ee42
frame=00420 pc=0x04cd cycles=29991344 fb=0x8612ee42
frame=00450 pc=0x04cf cycles=32098072 fb=0x8612ee42
frame=00480 pc=0x04cf cycles=34204788 fb=0x8612ee42
frame=00510 pc=0x04cf cycles=36311504 fb=0x8612ee42
frame=00540 pc=0x04d0 cycles=38418224 fb=0x8612ee42
frame=00570 pc=0x04cd cycles=40524952 fb=0x8612ee42
frame=00600 pc=0x04cd cycles=42631668 fb=0x8612ee42
frame=00630 pc=0x04cd cycles=44738384 fb=0x8612ee42
frame=00660 pc=0x04cf cycles=46845112 fb=0x8612ee42
frame=00690 pc=0x04cf cycles=48951828 fb=0x8612ee42
frame=00720 pc=0x04cf cycles=51058544 fb=0x8612ee42
frame=00750 pc=0x04d0 cycles=53165264 fb=0x8612ee42
frame=00780 pc=0x04cd cycles=55271992 fb=0x8612ee42
frame=00810 pc=0x04cd cycles=57378708 fb=0x8612ee42
frame=00840 pc=0x04cd cycles=59485424 fb=0x8612ee42
frame=00870 pc=0x04cf cycles=61592152 fb=0x8612ee42
frame=00899 pc=0x04cd cycles=63628648 fb=0x8612ee42
# distinct_fb=4 monotonic=true final_pc=0x04cd
OK: ran 900 frames; 4 distinct framebuffers, cycles monotonic
